nombre,tipos,generacion,categoria,habilidades,peso,altura,ps,ataque,defensa,ataque_s,defensa_s,velocidad,foto
Darmanitan,"Tipo fuego,Tipo fuego,Tipo psíquico",Quinta generación,Candente,Potencia bruta,"92,9 kg","1,3 m",105,140,55,30,55,95,"https://images.wikidexcdn.net/mwuploads/wikidex/thumb/6/68/latest/20191128022527/Darmanitan.png/200px-Darmanitan.png,https://images.wikidexcdn.net/mwuploads/wikidex/thumb/6/68/latest/20191128022527/Darmanitan.png/200px-Darmanitan.png"
Maractus,Tipo planta,Quinta generación,Cactus,"Absorbe agua,Clorofila","28,0 kg","1,0 m",75,86,67,106,67,60,"https://images.wikidexcdn.net/mwuploads/wikidex/thumb/c/cf/latest/20230702030250/Maractus.png/200px-Maractus.png,https://images.wikidexcdn.net/mwuploads/wikidex/thumb/c/cf/latest/20230702030250/Maractus.png/200px-Maractus.png"
Dwebble,"Tipo bicho,Tipo roca",Quinta generación,Casapiedra,"Robustez,Caparazón","14,5 kg","0,3 m",50,65,85,35,35,55,"https://images.wikidexcdn.net/mwuploads/wikidex/thumb/e/e1/latest/20230701043639/Dwebble.png/200px-Dwebble.png,https://images.wikidexcdn.net/mwuploads/wikidex/thumb/e/e1/latest/20230701043639/Dwebble.png/200px-Dwebble.png"
Crustle,"Tipo bicho,Tipo roca",Quinta generación,Casarroca,"Robustez,Caparazón","200,0 kg","1,4 m",70,105,125,65,75,45,"https://images.wikidexcdn.net/mwuploads/wikidex/thumb/1/11/latest/20211227212704/Crustle.png/200px-Crustle.png,https://images.wikidexcdn.net/mwuploads/wikidex/thumb/1/11/latest/20211227212704/Crustle.png/200px-Crustle.png"
Scraggy,"Tipo siniestro,Tipo lucha",Quinta generación,Mudapiel,"Mudar,Autoestima","11,8 kg","0,6 m",50,75,70,35,70,48,"https://images.wikidexcdn.net/mwuploads/wikidex/thumb/f/f0/latest/20230704001259/Scraggy.png/200px-Scraggy.png,https://images.wikidexcdn.net/mwuploads/wikidex/thumb/f/f0/latest/20230704001259/Scraggy.png/200px-Scraggy.png"
Scrafty,"Tipo siniestro,Tipo lucha",Quinta generación,Gamberro,"Mudar,Autoestima","30,0 kg","1,1 m",65,90,115,45,115,58,"https://images.wikidexcdn.net/mwuploads/wikidex/thumb/d/d1/latest/20160128020211/Scrafty.png/200px-Scrafty.png,https://images.wikidexcdn.net/mwuploads/wikidex/thumb/d/d1/latest/20160128020211/Scrafty.png/200px-Scrafty.png"
Sigilyph,"Tipo psíquico,Tipo volador",Quinta generación,Pseudopájaro,"Piel milagro,Muro mágico","14,0 kg","1,4 m",72,58,80,103,80,97,"https://images.wikidexcdn.net/mwuploads/wikidex/thumb/5/52/latest/20210614204145/Sigilyph.png/200px-Sigilyph.png,https://images.wikidexcdn.net/mwuploads/wikidex/thumb/5/52/latest/20210614204145/Sigilyph.png/200px-Sigilyph.png"
Yamask,Tipo fantasma,Quinta generación,Espíritu,Momia,"1,5 kg","0,5 m",38,30,85,55,65,30,"https://images.wikidexcdn.net/mwuploads/wikidex/thumb/0/08/latest/20230708030906/Yamask.png/200px-Yamask.png,https://images.wikidexcdn.net/mwuploads/wikidex/thumb/0/08/latest/20230708030906/Yamask.png/200px-Yamask.png"
Cofagrigus,Tipo fantasma,Quinta generación,Sepultura,Momia,"76,5 kg","1,7 m",58,50,145,95,105,30,"https://images.wikidexcdn.net/mwuploads/wikidex/thumb/4/42/latest/20200428210009/Cofagrigus.png/200px-Cofagrigus.png,https://images.wikidexcdn.net/mwuploads/wikidex/thumb/4/42/latest/20200428210009/Cofagrigus.png/200px-Cofagrigus.png"
Tirtouga,"Tipo agua,Tipo roca",Quinta generación,Pretortuga,"Roca sólida,Robustez","16,5 kg","0,7 m",54,78,103,53,45,22,"https://images.wikidexcdn.net/mwuploads/wikidex/thumb/5/5e/latest/20230706064108/Tirtouga.png/200px-Tirtouga.png,https://images.wikidexcdn.net/mwuploads/wikidex/thumb/5/5e/latest/20230706064108/Tirtouga.png/200px-Tirtouga.png"
Carracosta,"Tipo agua,Tipo roca",Quinta generación,Pretortuga,"Roca sólida,Robustez","81,0 kg","1,2 m",74,108,133,83,65,32,"https://images.wikidexcdn.net/mwuploads/wikidex/thumb/9/91/latest/20230701043249/Carracosta.png/200px-Carracosta.png,https://images.wikidexcdn.net/mwuploads/wikidex/thumb/9/91/latest/20230701043249/Carracosta.png/200px-Carracosta.png"
Archen,"Tipo roca,Tipo volador",Quinta generación,Protopájaro,Flaqueza,"9,5 kg","0,5 m",55,112,45,74,45,70,"https://images.wikidexcdn.net/mwuploads/wikidex/thumb/9/90/latest/20230702051555/Archen.png/200px-Archen.png,https://images.wikidexcdn.net/mwuploads/wikidex/thumb/9/90/latest/20230702051555/Archen.png/200px-Archen.png"
Archeops,"Tipo roca,Tipo volador",Quinta generación,Protopájaro,Flaqueza,"32,0 kg","1,4 m",75,140,65,112,65,110,"https://images.wikidexcdn.net/mwuploads/wikidex/thumb/8/8b/latest/20160831232514/Archeops.png/200px-Archeops.png,https://images.wikidexcdn.net/mwuploads/wikidex/thumb/8/8b/latest/20160831232514/Archeops.png/200px-Archeops.png"
Trubbish,Tipo veneno,Quinta generación,Bolsa Basura,"Hedor,Viscosidad","31,0 kg","0,6 m",50,50,62,40,62,65,"https://images.wikidexcdn.net/mwuploads/wikidex/thumb/d/df/latest/20230706064429/Trubbish.png/200px-Trubbish.png,https://images.wikidexcdn.net/mwuploads/wikidex/thumb/d/df/latest/20230706064429/Trubbish.png/200px-Trubbish.png"
Garbodor,Tipo veneno,Quinta generación,Vertedero,"Hedor,Armadura frágil","107,3 kg","1,9 m",80,95,82,60,82,75,"https://images.wikidexcdn.net/mwuploads/wikidex/thumb/3/36/latest/20230723192559/Garbodor.png/200px-Garbodor.png,https://images.wikidexcdn.net/mwuploads/wikidex/thumb/3/36/latest/20230723192559/Garbodor.png/200px-Garbodor.png"
Zorua,Tipo siniestro,Quinta generación,Zorro Pillo,Ilusión,"12,5 kg","0,7 m",40,65,40,80,40,65,"https://images.wikidexcdn.net/mwuploads/wikidex/thumb/f/ff/latest/20200825140315/Zorua.png/200px-Zorua.png,https://images.wikidexcdn.net/mwuploads/wikidex/thumb/f/ff/latest/20200825140315/Zorua.png/200px-Zorua.png"
Zoroark,Tipo siniestro,Quinta generación,Disfrazorro,Ilusión,"81,1 kg","1,6 m",60,105,60,120,60,105,"https://images.wikidexcdn.net/mwuploads/wikidex/thumb/d/d7/latest/20211210201020/Zoroark.png/200px-Zoroark.png,https://images.wikidexcdn.net/mwuploads/wikidex/thumb/d/d7/latest/20211210201020/Zoroark.png/200px-Zoroark.png"
Minccino,Tipo normal,Quinta generación,Chinchilla,"Gran encanto,Experto","5,8 kg","0,4 m",55,50,40,40,40,75,"https://images.wikidexcdn.net/mwuploads/wikidex/thumb/7/75/latest/20151017103348/Minccino.png/200px-Minccino.png,https://images.wikidexcdn.net/mwuploads/wikidex/thumb/7/75/latest/20151017103348/Minccino.png/200px-Minccino.png"
Cinccino,Tipo normal,Quinta generación,Estola,"Gran encanto,Experto","7,5 kg","0,5 m",75,95,60,65,60,115,"https://images.wikidexcdn.net/mwuploads/wikidex/thumb/0/01/latest/20150621184025/Cinccino.png/200px-Cinccino.png,https://images.wikidexcdn.net/mwuploads/wikidex/thumb/0/01/latest/20150621184025/Cinccino.png/200px-Cinccino.png"
Gothita,Tipo psíquico,Quinta generación,Inquisitivo,"Cacheo,Tenacidad","5,8 kg","0,4 m",45,30,50,55,65,45,"https://images.wikidexcdn.net/mwuploads/wikidex/thumb/f/f6/latest/20160822222204/Gothita.png/200px-Gothita.png,https://images.wikidexcdn.net/mwuploads/wikidex/thumb/f/f6/latest/20160822222204/Gothita.png/200px-Gothita.png"
Gothorita,Tipo psíquico,Quinta generación,Manipulador,"Cacheo,Tenacidad","18,0 kg","0,7 m",60,45,70,75,85,55,"https://images.wikidexcdn.net/mwuploads/wikidex/thumb/e/e3/latest/20230701044503/Gothorita.png/200px-Gothorita.png,https://images.wikidexcdn.net/mwuploads/wikidex/thumb/e/e3/latest/20230701044503/Gothorita.png/200px-Gothorita.png"
Gothitelle,Tipo psíquico,Quinta generación,Astro,"Cacheo,Tenacidad","44,0 kg","1,5 m",70,55,95,95,110,65,"https://images.wikidexcdn.net/mwuploads/wikidex/thumb/3/35/latest/20210501204206/Gothitelle.png/200px-Gothitelle.png,https://images.wikidexcdn.net/mwuploads/wikidex/thumb/3/35/latest/20210501204206/Gothitelle.png/200px-Gothitelle.png"
Solosis,Tipo psíquico,Quinta generación,Célula,"Funda,Muro mágico","1,0 kg","0,3 m",45,30,40,105,50,20,"https://images.wikidexcdn.net/mwuploads/wikidex/thumb/2/22/latest/20230705045836/Solosis.png/200px-Solosis.png,https://images.wikidexcdn.net/mwuploads/wikidex/thumb/2/22/latest/20230705045836/Solosis.png/200px-Solosis.png"
Duosion,Tipo psíquico,Quinta generación,Mitosis,"Funda,Muro mágico","8,0 kg","0,6 m",65,40,50,125,60,30,"https://images.wikidexcdn.net/mwuploads/wikidex/thumb/0/09/latest/20151017152219/Duosion.png/200px-Duosion.png,https://images.wikidexcdn.net/mwuploads/wikidex/thumb/0/09/latest/20151017152219/Duosion.png/200px-Duosion.png"
Reuniclus,Tipo psíquico,Quinta generación,Ampliación,"Funda,Muro mágico","20,1 kg","1,0 m",110,65,75,125,85,30,"https://images.wikidexcdn.net/mwuploads/wikidex/thumb/0/00/latest/20151017154126/Reuniclus.png/200px-Reuniclus.png,https://images.wikidexcdn.net/mwuploads/wikidex/thumb/0/00/latest/20151017154126/Reuniclus.png/200px-Reuniclus.png"
Ducklett,"Tipo agua,Tipo volador",Quinta generación,Ave agua,"Vista lince,Sacapecho","5,5 kg","0,5 m",62,44,50,44,50,55,"https://images.wikidexcdn.net/mwuploads/wikidex/thumb/7/7f/latest/20230701043551/Ducklett.png/200px-Ducklett.png,https://images.wikidexcdn.net/mwuploads/wikidex/thumb/7/7f/latest/20230701043551/Ducklett.png/200px-Ducklett.png"
Swanna,"Tipo agua,Tipo volador",Quinta generación,Cisne,"Vista lince,Sacapecho","24,2 kg","1,3 m",75,87,63,87,63,98,"https://images.wikidexcdn.net/mwuploads/wikidex/thumb/3/38/latest/20230705050459/Swanna.png/200px-Swanna.png,https://images.wikidexcdn.net/mwuploads/wikidex/thumb/3/38/latest/20230705050459/Swanna.png/200px-Swanna.png"
Vanillite,Tipo hielo,Quinta generación,Nieve Fresca,"Gélido,Manto níveo","5,7 kg","0,4 m",36,50,50,65,60,44,"https://images.wikidexcdn.net/mwuploads/wikidex/thumb/5/5e/latest/20160625151439/Vanillite.png/200px-Vanillite.png,https://images.wikidexcdn.net/mwuploads/wikidex/thumb/5/5e/latest/20160625151439/Vanillite.png/200px-Vanillite.png"
Vanillish,Tipo hielo,Quinta generación,Nieve Helada,"Gélido,Manto níveo","41,0 kg","1,1 m",51,65,65,80,75,59,"https://images.wikidexcdn.net/mwuploads/wikidex/thumb/d/dd/latest/20200428205140/Vanillish.png/200px-Vanillish.png,https://images.wikidexcdn.net/mwuploads/wikidex/thumb/d/dd/latest/20200428205140/Vanillish.png/200px-Vanillish.png"
Vanilluxe,Tipo hielo,Quinta generación,Nieve Gélida,"Gélido,Nevada","57,5 kg","1,3 m",71,95,85,110,95,79,"https://images.wikidexcdn.net/mwuploads/wikidex/thumb/4/41/latest/20200428205240/Vanilluxe.png/200px-Vanilluxe.png,https://images.wikidexcdn.net/mwuploads/wikidex/thumb/4/41/latest/20200428205240/Vanilluxe.png/200px-Vanilluxe.png"
Deerling,"Tipo normal,Tipo planta",Quinta generación,Estacional,"Clorofila,Herbívoro","19,5 kg","0,6 m",60,60,50,40,50,75,"https://images.wikidexcdn.net/mwuploads/wikidex/thumb/d/d0/latest/20110313000304/Deerling.png/200px-Deerling.png,https://images.wikidexcdn.net/mwuploads/wikidex/thumb/d/d0/latest/20110313000304/Deerling.png/200px-Deerling.png"
Sawsbuck,"Tipo normal,Tipo planta",Quinta generación,Estacional,"Clorofila,Herbívoro","92,5 kg","1,9 m",80,100,70,60,70,95,"https://images.wikidexcdn.net/mwuploads/wikidex/thumb/d/df/latest/20110830220301/Sawsbuck.png/200px-Sawsbuck.png,https://images.wikidexcdn.net/mwuploads/wikidex/thumb/d/df/latest/20110830220301/Sawsbuck.png/200px-Sawsbuck.png"
Emolga,"Tipo eléctrico,Tipo volador",Quinta generación,Vuelardilla,Electricidad estática,"5,0 kg","0,4 m",55,75,60,75,60,103,"https://images.wikidexcdn.net/mwuploads/wikidex/thumb/9/95/latest/20150321124404/Emolga.png/200px-Emolga.png,https://images.wikidexcdn.net/mwuploads/wikidex/thumb/9/95/latest/20150321124404/Emolga.png/200px-Emolga.png"
Karrablast,Tipo bicho,Quinta generación,Bocado,"Enjambre,Mudar","5,9 kg","0,5 m",50,75,45,40,45,60,"https://images.wikidexcdn.net/mwuploads/wikidex/thumb/2/2d/latest/20230702025910/Karrablast.png/200px-Karrablast.png,https://images.wikidexcdn.net/mwuploads/wikidex/thumb/2/2d/latest/20230702025910/Karrablast.png/200px-Karrablast.png"
Escavalier,"Tipo bicho,Tipo acero",Quinta generación,Soldado,"Enjambre,Caparazón","33,0 kg","1,0 m",70,135,105,60,105,20,"https://images.wikidexcdn.net/mwuploads/wikidex/thumb/3/33/latest/20230701043822/Escavalier.png/200px-Escavalier.png,https://images.wikidexcdn.net/mwuploads/wikidex/thumb/3/33/latest/20230701043822/Escavalier.png/200px-Escavalier.png"
Foongus,"Tipo planta,Tipo veneno",Quinta generación,Hongo,Efecto espora,"1,0 kg","0,2 m",69,55,45,55,55,15,"https://images.wikidexcdn.net/mwuploads/wikidex/thumb/4/4f/latest/20160922192531/Foongus.png/200px-Foongus.png,https://images.wikidexcdn.net/mwuploads/wikidex/thumb/4/4f/latest/20160922192531/Foongus.png/200px-Foongus.png"
Amoonguss,"Tipo planta,Tipo veneno",Quinta generación,Hongo,Efecto espora,"10,5 kg","0,6 m",114,85,70,85,80,30,"https://images.wikidexcdn.net/mwuploads/wikidex/thumb/0/0a/latest/20160922223405/Amoonguss.png/200px-Amoonguss.png,https://images.wikidexcdn.net/mwuploads/wikidex/thumb/0/0a/latest/20160922223405/Amoonguss.png/200px-Amoonguss.png"
Frillish,"Tipo agua,Tipo fantasma",Quinta generación,Ingrávido,"Absorbe agua,Cuerpo maldito","33,0 kg","1,2 m",55,40,50,65,85,40,"https://images.wikidexcdn.net/mwuploads/wikidex/thumb/3/38/latest/20230701044114/Frillish.png/200px-Frillish.png,https://images.wikidexcdn.net/mwuploads/wikidex/thumb/3/38/latest/20230701044114/Frillish.png/200px-Frillish.png"
Jellicent,"Tipo agua,Tipo fantasma",Quinta generación,Ingrávido,"Absorbe agua,Cuerpo maldito","135,0 kg","2,2 m",100,60,70,85,105,60,"https://images.wikidexcdn.net/mwuploads/wikidex/thumb/5/56/latest/20151017105038/Jellicent.png/200px-Jellicent.png,https://images.wikidexcdn.net/mwuploads/wikidex/thumb/5/56/latest/20151017105038/Jellicent.png/200px-Jellicent.png"
Alomomola,Tipo agua,Quinta generación,Socorrista,"Alma cura,Hidratación","31,6 kg","1,2 m",165,75,80,40,45,65,"https://images.wikidexcdn.net/mwuploads/wikidex/thumb/5/5e/latest/20151017015435/Alomomola.png/200px-Alomomola.png,https://images.wikidexcdn.net/mwuploads/wikidex/thumb/5/5e/latest/20151017015435/Alomomola.png/200px-Alomomola.png"
Joltik,"Tipo bicho,Tipo eléctrico",Quinta generación,Lapa,"Ojo compuesto,Nerviosismo","0,6 kg","0,1 m",50,47,50,57,50,65,"https://images.wikidexcdn.net/mwuploads/wikidex/thumb/f/fd/latest/20201004234725/Joltik.png/200px-Joltik.png,https://images.wikidexcdn.net/mwuploads/wikidex/thumb/f/fd/latest/20201004234725/Joltik.png/200px-Joltik.png"
Galvantula,"Tipo bicho,Tipo eléctrico",Quinta generación,Electroaraña,"Ojo compuesto,Nerviosismo","14,3 kg","0,8 m",70,77,60,97,60,108,"https://images.wikidexcdn.net/mwuploads/wikidex/thumb/7/7f/latest/20201004180842/Galvantula.png/200px-Galvantula.png,https://images.wikidexcdn.net/mwuploads/wikidex/thumb/7/7f/latest/20201004180842/Galvantula.png/200px-Galvantula.png"
Ferroseed,"Tipo planta,Tipo acero",Quinta generación,Fruto Espina,Punta acero,"18,8 kg","0,6 m",44,50,91,24,86,10,"https://images.wikidexcdn.net/mwuploads/wikidex/thumb/e/e6/latest/20230701043934/Ferroseed.png/200px-Ferroseed.png,https://images.wikidexcdn.net/mwuploads/wikidex/thumb/e/e6/latest/20230701043934/Ferroseed.png/200px-Ferroseed.png"
Ferrothorn,"Tipo planta,Tipo acero",Quinta generación,Bola Espina,Punta acero,"110,0 kg","1,0 m",74,94,131,54,116,20,"https://images.wikidexcdn.net/mwuploads/wikidex/thumb/5/52/latest/20230723192831/Ferrothorn.png/200px-Ferrothorn.png,https://images.wikidexcdn.net/mwuploads/wikidex/thumb/5/52/latest/20230723192831/Ferrothorn.png/200px-Ferrothorn.png"
Klink,Tipo acero,Quinta generación,Engranaje,"Más,Menos","21,0 kg","0,3 m",40,55,70,45,60,30,"https://images.wikidexcdn.net/mwuploads/wikidex/thumb/6/69/latest/20230702030046/Klink.png/200px-Klink.png,https://images.wikidexcdn.net/mwuploads/wikidex/thumb/6/69/latest/20230702030046/Klink.png/200px-Klink.png"
Klang,Tipo acero,Quinta generación,Engranaje,"Más,Menos","51,0 kg","0,6 m",60,80,95,70,85,50,"https://images.wikidexcdn.net/mwuploads/wikidex/thumb/c/c8/latest/20230702030047/Klang.png/200px-Klang.png,https://images.wikidexcdn.net/mwuploads/wikidex/thumb/c/c8/latest/20230702030047/Klang.png/200px-Klang.png"
Klinklang,Tipo acero,Quinta generación,Engranaje,"Más,Menos","81,0 kg","0,6 m",60,100,115,70,85,90,"https://images.wikidexcdn.net/mwuploads/wikidex/thumb/5/5a/latest/20230702030049/Klinklang.png/200px-Klinklang.png,https://images.wikidexcdn.net/mwuploads/wikidex/thumb/5/5a/latest/20230702030049/Klinklang.png/200px-Klinklang.png"
Tynamo,Tipo eléctrico,Quinta generación,Electropez,Levitación,"0,3 kg","0,2 m",35,55,40,45,40,60,"https://images.wikidexcdn.net/mwuploads/wikidex/thumb/7/7b/latest/20230707040105/Tynamo.png/200px-Tynamo.png,https://images.wikidexcdn.net/mwuploads/wikidex/thumb/7/7b/latest/20230707040105/Tynamo.png/200px-Tynamo.png"
Eelektrik,Tipo eléctrico,Quinta generación,Electropez,Levitación,"22,0 kg","1,2 m",65,85,70,75,70,40,"https://images.wikidexcdn.net/mwuploads/wikidex/thumb/5/50/latest/20230701043700/Eelektrik.png/200px-Eelektrik.png,https://images.wikidexcdn.net/mwuploads/wikidex/thumb/5/50/latest/20230701043700/Eelektrik.png/200px-Eelektrik.png"
Eelektross,Tipo eléctrico,Quinta generación,Electropez,Levitación,"85,5 kg","2,1 m",85,115,80,105,80,50,"https://images.wikidexcdn.net/mwuploads/wikidex/thumb/a/a1/latest/20230701043715/Eelektross.png/200px-Eelektross.png,https://images.wikidexcdn.net/mwuploads/wikidex/thumb/a/a1/latest/20230701043715/Eelektross.png/200px-Eelektross.png"
Elgyem,Tipo psíquico,Quinta generación,Cerebro,"Telepatía,Sincronía","9,0 kg","0,5 m",55,55,55,85,55,30,"https://images.wikidexcdn.net/mwuploads/wikidex/thumb/c/c0/latest/20230723192830/Elgyem.png/200px-Elgyem.png,https://images.wikidexcdn.net/mwuploads/wikidex/thumb/c/c0/latest/20230723192830/Elgyem.png/200px-Elgyem.png"
Beheeyem,Tipo psíquico,Quinta generación,Cerebro,"Telepatía,Sincronía","34,5 kg","1,0 m",75,75,75,125,95,40,"https://images.wikidexcdn.net/mwuploads/wikidex/thumb/a/a6/latest/20230723192830/Beheeyem.png/200px-Beheeyem.png,https://images.wikidexcdn.net/mwuploads/wikidex/thumb/a/a6/latest/20230723192830/Beheeyem.png/200px-Beheeyem.png"
Litwick,"Tipo fantasma,Tipo fuego",Quinta generación,Vela,"Absorbe fuego,Cuerpo llama","3,1 kg","0,3 m",50,30,55,65,55,20,"https://images.wikidexcdn.net/mwuploads/wikidex/thumb/d/d1/latest/20230607045039/Litwick.png/200px-Litwick.png,https://images.wikidexcdn.net/mwuploads/wikidex/thumb/d/d1/latest/20230607045039/Litwick.png/200px-Litwick.png"
Lampent,"Tipo fantasma,Tipo fuego",Quinta generación,Farolillo,"Absorbe fuego,Cuerpo llama","13,0 kg","0,6 m",60,40,60,95,60,55,"https://images.wikidexcdn.net/mwuploads/wikidex/thumb/3/3c/latest/20230607045049/Lampent.png/200px-Lampent.png,https://images.wikidexcdn.net/mwuploads/wikidex/thumb/3/3c/latest/20230607045049/Lampent.png/200px-Lampent.png"
Chandelure,"Tipo fantasma,Tipo fuego",Quinta generación,Señuelo,"Absorbe fuego,Cuerpo llama","34,3 kg","1,0 m",60,55,90,145,90,80,"https://images.wikidexcdn.net/mwuploads/wikidex/thumb/9/90/latest/20201009233354/Chandelure.png/200px-Chandelure.png,https://images.wikidexcdn.net/mwuploads/wikidex/thumb/9/90/latest/20201009233354/Chandelure.png/200px-Chandelure.png"
Axew,Tipo dragón,Quinta generación,Colmillo,"Rivalidad,Rompemoldes","18,0 kg","0,6 m",46,87,60,30,40,57,"https://images.wikidexcdn.net/mwuploads/wikidex/thumb/6/62/latest/20200503023116/Axew.png/200px-Axew.png,https://images.wikidexcdn.net/mwuploads/wikidex/thumb/6/62/latest/20200503023116/Axew.png/200px-Axew.png"
Fraxure,Tipo dragón,Quinta generación,Boca Hacha,"Rivalidad,Rompemoldes","36,0 kg","1,0 m",66,117,70,40,50,67,"https://images.wikidexcdn.net/mwuploads/wikidex/thumb/2/21/latest/20200503023639/Fraxure.png/200px-Fraxure.png,https://images.wikidexcdn.net/mwuploads/wikidex/thumb/2/21/latest/20200503023639/Fraxure.png/200px-Fraxure.png"
Haxorus,Tipo dragón,Quinta generación,Boca Hacha,"Rivalidad,Rompemoldes","105,5 kg","1,8 m",76,147,90,60,70,97,"https://images.wikidexcdn.net/mwuploads/wikidex/thumb/9/9d/latest/20200503024029/Haxorus.png/200px-Haxorus.png,https://images.wikidexcdn.net/mwuploads/wikidex/thumb/9/9d/latest/20200503024029/Haxorus.png/200px-Haxorus.png"
Cubchoo,Tipo hielo,Quinta generación,Congelación,"Manto níveo,Quitanieves","8,5 kg","0,5 m",55,70,40,60,40,40,"https://images.wikidexcdn.net/mwuploads/wikidex/thumb/2/22/latest/20210831195005/Cubchoo.png/200px-Cubchoo.png,https://images.wikidexcdn.net/mwuploads/wikidex/thumb/2/22/latest/20210831195005/Cubchoo.png/200px-Cubchoo.png"
Beartic,Tipo hielo,Quinta generación,Glaciación,"Manto níveo,Quitanieves","260,0 kg","2,6 m",95,130,80,70,80,50,"https://images.wikidexcdn.net/mwuploads/wikidex/thumb/b/b9/latest/20230723192825/Beartic.png/200px-Beartic.png,https://images.wikidexcdn.net/mwuploads/wikidex/thumb/b/b9/latest/20230723192825/Beartic.png/200px-Beartic.png"
Cryogonal,Tipo hielo,Quinta generación,Cristal,Levitación,"148,0 kg","1,1 m",80,50,50,95,135,105,"https://images.wikidexcdn.net/mwuploads/wikidex/thumb/b/b7/latest/20230723192831/Cryogonal.png/200px-Cryogonal.png,https://images.wikidexcdn.net/mwuploads/wikidex/thumb/b/b7/latest/20230723192831/Cryogonal.png/200px-Cryogonal.png"
Shelmet,Tipo bicho,Quinta generación,Caracol,"Hidratación,Caparazón","7,7 kg","0,4 m",50,40,85,40,65,25,"https://images.wikidexcdn.net/mwuploads/wikidex/thumb/f/f2/latest/20230705004251/Shelmet.png/200px-Shelmet.png,https://images.wikidexcdn.net/mwuploads/wikidex/thumb/f/f2/latest/20230705004251/Shelmet.png/200px-Shelmet.png"
Accelgor,Tipo bicho,Quinta generación,Sincaparazón,"Hidratación,Viscosidad","25,3 kg","0,8 m",80,70,40,100,60,145,"https://images.wikidexcdn.net/mwuploads/wikidex/thumb/7/7a/latest/20201009233536/Accelgor.png/200px-Accelgor.png,https://images.wikidexcdn.net/mwuploads/wikidex/thumb/7/7a/latest/20201009233536/Accelgor.png/200px-Accelgor.png"
Stunfisk,"Tipo tierra,Tipo eléctrico",Quinta generación,Trampa,"Electricidad estática,Flexibilidad","11,0 kg","0,7 m",109,66,84,81,99,32,"https://images.wikidexcdn.net/mwuploads/wikidex/thumb/a/ad/latest/20190407225447/Stunfisk.png/200px-Stunfisk.png,https://images.wikidexcdn.net/mwuploads/wikidex/thumb/a/ad/latest/20190407225447/Stunfisk.png/200px-Stunfisk.png"
Mienfoo,Tipo lucha,Quinta generación,Arte Marcial,"Fuerza mental,Regeneración","20,0 kg","0,9 m",45,85,50,55,50,65,"https://images.wikidexcdn.net/mwuploads/wikidex/thumb/9/9e/latest/20230404204525/Mienfoo.png/200px-Mienfoo.png,https://images.wikidexcdn.net/mwuploads/wikidex/thumb/9/9e/latest/20230404204525/Mienfoo.png/200px-Mienfoo.png"
Mienshao,Tipo lucha,Quinta generación,Arte Marcial,"Fuerza mental,Regeneración","35,5 kg","1,4 m",65,125,60,95,60,105,"https://images.wikidexcdn.net/mwuploads/wikidex/thumb/3/3f/latest/20230404204528/Mienshao.png/200px-Mienshao.png,https://images.wikidexcdn.net/mwuploads/wikidex/thumb/3/3f/latest/20230404204528/Mienshao.png/200px-Mienshao.png"
Druddigon,Tipo dragón,Quinta generación,Cueva,"Piel tosca,Potencia bruta","139,0 kg","1,6 m",77,120,90,60,90,48,"https://images.wikidexcdn.net/mwuploads/wikidex/thumb/c/ca/latest/20230701043603/Druddigon.png/200px-Druddigon.png,https://images.wikidexcdn.net/mwuploads/wikidex/thumb/c/ca/latest/20230701043603/Druddigon.png/200px-Druddigon.png"
Golett,"Tipo tierra,Tipo fantasma",Quinta generación,Autómata,"Puño férreo,Zoquete","92,0 kg","1,0 m",59,74,50,35,50,35,"https://images.wikidexcdn.net/mwuploads/wikidex/thumb/f/f2/latest/20230723223523/Golett.png/200px-Golett.png,https://images.wikidexcdn.net/mwuploads/wikidex/thumb/f/f2/latest/20230723223523/Golett.png/200px-Golett.png"
Golurk,"Tipo tierra,Tipo fantasma",Quinta generación,Autómata,"Puño férreo,Zoquete","330,0 kg","2,8 m",89,124,80,55,80,55,"https://images.wikidexcdn.net/mwuploads/wikidex/thumb/d/d3/latest/20230723223526/Golurk.png/200px-Golurk.png,https://images.wikidexcdn.net/mwuploads/wikidex/thumb/d/d3/latest/20230723223526/Golurk.png/200px-Golurk.png"
Pawniard,"Tipo siniestro,Tipo acero",Quinta generación,Tajo,"Competitivo,Fuerza mental","10,2 kg","0,5 m",45,85,70,40,40,60,"https://images.wikidexcdn.net/mwuploads/wikidex/thumb/2/2b/latest/20230702030808/Pawniard.png/200px-Pawniard.png,https://images.wikidexcdn.net/mwuploads/wikidex/thumb/2/2b/latest/20230702030808/Pawniard.png/200px-Pawniard.png"
Bisharp,"Tipo siniestro,Tipo acero",Quinta generación,Filo,"Competitivo,Fuerza mental","70,0 kg","1,6 m",65,125,100,60,70,70,"https://images.wikidexcdn.net/mwuploads/wikidex/thumb/3/3c/latest/20230723223614/Bisharp.png/200px-Bisharp.png,https://images.wikidexcdn.net/mwuploads/wikidex/thumb/3/3c/latest/20230723223614/Bisharp.png/200px-Bisharp.png"
Bouffalant,Tipo normal,Quinta generación,Torocabezazo,"Audaz,Herbívoro","94,6 kg","1,6 m",95,110,95,40,95,55,"https://images.wikidexcdn.net/mwuploads/wikidex/thumb/0/02/latest/20220926200525/Bouffalant.png/200px-Bouffalant.png,https://images.wikidexcdn.net/mwuploads/wikidex/thumb/0/02/latest/20220926200525/Bouffalant.png/200px-Bouffalant.png"
